Vehicle,Make,Model,Suffix,Sales,Powertrain,Combined_Type,Weight_Lowest,Weight_Highest,Class,Subclass,Subclass_Add,Refund_Federal,Refund_State,Fueltype,Battery_Power,Battery_Capacity,Fuelcell_Power,CD_Gasoline,Lightweighting,MSRP_Lowest,MSRP_Highest,Trim1_Name,Trim1_Style,Trim1_MSRP,Trim1_MPG_City,Trim1_MPG_Highway,Trim1_MPG_City_CD,Trim1_MPG_Highway_CD,Trim1_Transmission,Trim1_Cylinders,Trim1_HP
Chevrolet Cruze,Chevrolet,Cruze,,273060,ICEV,ICEV,3005,3471,Sedan/Hatchback,Compact,,,,,,,,,,17520,23805,LS Auto,4dr Sedan,18705,22,35,,,6-spd automatic w/overdrive,4,138
Toyota RAV4,Toyota,RAV4,,266514,ICEV,ICEV,3435,3610,SUV,Compact,,,,,,,,,,23550,29720,LE,4dr Front-wheel Drive,23550,24,31,,,6-spd automatic w/overdrive,4,176
Toyota RAV4,Toyota,RAV4,,266514,ICEV,ICEV,3435,3610,SUV,Compact,,,,,,,,,,23550,29720,LE,4dr All-wheel Drive,24950,22,29,,,6-spd automatic w/overdrive,4,176
Ford Fusion,Ford,Fusion,,259905,ICEV,ICEV,3431,3681,Sedan/Hatchback,Mid-size,,,,,,,,,,21970,32600,S,4dr Front-wheel Drive Sedan,21970,22,34,,,6-spd automatic w/overdrive,4,175
Ford Fusion,Ford,Fusion,,259905,ICEV,ICEV,3431,3681,Sedan/Hatchback,Mid-size,,,,,,,,,,21970,32600,Titanium,4dr All-wheel Drive Sedan,32600,22,31,,,6-spd automatic w/overdrive,4,231
Chevrolet Equinox,Chevrolet,Equinox,,242242,ICEV,ICEV,3758,3993,SUV,Mid-size,,,,,,,,,,24440,33400,LS,Front-wheel Drive Sport Utility,24440,22,32,,,6-spd automatic w/overdrive,4,182
Chevrolet Equinox,Chevrolet,Equinox,,242242,ICEV,ICEV,3758,3993,SUV,Mid-size,,,,,,,,,,24440,33400,LS,All-wheel Drive Sport Utility,26190,20,29,,,6-spd automatic w/overdrive,4,182
Hyundai Elantra,Hyundai,Elantra,,222023,ICEV,ICEV,2773,2923,Sedan/Hatchback,Compact,,,,,,,,,,17200,21700,SE,4dr Sedan,17200,27,37,,,6-spd manual w/overdrive,4,145
Hyundai Elantra,Hyundai,Elantra,,222023,ICEV,ICEV,2773,2923,Sedan/Hatchback,Compact,,,,,,,,,,17200,21700,Base,2dr Coupe,19600,24,34,,,6-spd automatic w/overdrive,4,173
Ford Focus,Ford,Focus,,217670,ICEV,ICEV,2935,3055,Sedan/Hatchback,Compact,,,,,,,,,,16810,24065,Titanium,4dr Sedan,23565,27,37,,,6-spd auto-shift manual w/overdrive,4,160
